"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.554157792E0,-1.090273877E0,-1.303030373E0,-4.892911466E0
2.574077792E0,-2.680149939E0,-2.921466576E0,7.377694529E0
2.593996792E0,-8.706939724E-1,-5.020150387E-1,7.262645298E0
2.613915792E0,-5.352509049E-1,1.956201199E0,3.611188347E0
2.633835792E0,-5.521496505E-2,2.861755979E0,-2.324995031E0
2.653754792E0,-2.621003891E0,7.815756816E-1,-1.910318683E0
2.673673792E0,-9.313728681E-1,9.722183007E-1,1.593226517E0
2.693593792E0,-3.635482943E-1,2.360550195E0,2.667591874E-1
2.713512792E0,-7.017068088E-2,2.955416095E0,-1.270173699E0
2.733432792E0,-3.022218195E-1,1.375232377E0,-1.474904600E0
2.753351792E0,-6.924474505E-1,-1.946058619E0,8.260027530E-1
2.773270792E0,1.501077906E0,-4.844147442E0,3.457095503E0
2.793190792E0,3.551532129E0,-7.804426666E0,3.496659518E0
2.813109792E0,2.499401686E0,-5.201467867E0,-8.230663544E-1
2.833028792E0,2.210375278E0,-2.307998929E0,-1.777556628E0
2.852948667E0,-1.365766320E-1,-1.694088648E0,-1.245963010E0
2.872867667E0,-5.874703413E-1,-5.018489778E-1,-6.790324759E-1
2.892786667E0,-7.402136475E0,7.155171136E0,-7.781147146E-1
2.912706667E0,3.232719128E0,4.456526746E0,2.822205412E-1
2.932625667E0,3.937703885E0,-1.604737930E0,-1.891620603E0
2.952545667E0,-4.894506294E0,-6.262084374E0,3.548241024E-1
2.972464667E0,-2.644725460E0,-6.693202507E-1,-2.426752371E-1
2.992383667E0,1.055852488E0,4.673090072E0,-1.493783505E0
3.012303667E0,1.403929927E0,1.742793615E0,-6.220963830E-1
3.032222667E0,-6.268680033E-1,2.826339394E0,-1.517797873E0
3.052141667E0,-8.732465744E-2,7.061764205E-1,1.157776181E0
3.072061667E0,2.619777730E-1,2.005155258E0,-9.144630128E-1
3.091980667E0,-5.547844058E-1,-4.073965645E-1,-9.480602369E-2
