"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.730146000E0,7.785460052E0,-7.605534210E0,4.441264343E-1
2.750066000E0,8.024363251E0,-7.408992920E0,3.501219177E-1
2.769986000E0,7.663164368E0,-7.075785828E0,-1.487905884E-1
2.789906000E0,6.773414612E0,-7.043153687E0,-5.983058167E-1
2.809827000E0,5.923482056E0,-7.294181671E0,-4.420307922E-1
2.829747000E0,5.351371765E0,-7.667655029E0,-1.538800049E-1
2.849667000E0,4.943769379E0,-8.005053406E0,5.478607178E-2
2.869587000E0,4.545597382E0,-8.273594971E0,1.392105103E-2
2.889507000E0,4.213138733E0,-8.335266724E0,-1.025367737E-1
2.909427000E0,4.024231567E0,-8.418343964E0,-8.936416626E-2
2.929347000E0,3.810176697E0,-8.668324127E0,2.664459229E-2
2.949267000E0,3.629502411E0,-8.649313660E0,-1.362167358E-2
2.969187000E0,3.803141327E0,-8.594826965E0,3.412902832E-2
2.989107000E0,4.221521301E0,-8.703351288E0,7.619155884E-2
3.009027000E0,4.514611816E0,-8.902586975E0,-1.559756470E-1
3.028947000E0,4.541256409E0,-9.034013672E0,-4.781057739E-1
3.048867000E0,4.534670105E0,-8.759634247E0,-7.333250427E-1
3.068787000E0,5.024451599E0,-8.764424286E0,-9.886940002E-1
3.088707000E0,6.192023621E0,-1.019215530E1,-8.960366821E-1
3.108627000E0,5.896987152E0,-1.065903442E1,-1.422641602E0
3.128548000E0,5.020859070E0,-1.000564316E1,-2.369722137E0
3.148468000E0,4.320465546E0,-8.948691101E0,-2.046544189E0
3.168388000E0,4.336182861E0,-7.694598999E0,-1.113833771E0
3.188308000E0,5.472619629E0,-6.687493286E0,-8.836125183E-1
3.208228000E0,7.545059967E0,-6.669979706E0,-1.464105377E0
3.228148000E0,8.347541199E0,-6.623426514E0,-2.457739105E0
3.248068000E0,7.872878265E0,-7.304959259E0,-3.178041229E0
3.267988000E0,7.160060577E0,-7.983198853E0,-3.303779755E0
3.287908000E0,6.633156281E0,-8.218359833E0,-2.907853088E0
3.307828000E0,6.100264435E0,-8.071515198E0,-2.043700104E0
3.327748000E0,5.410049744E0,-7.432344360E0,-1.430275726E0
3.347668708E0,4.925507355E0,-6.809639282E0,-9.530680847E-1
3.367588708E0,4.566254425E0,-6.343807983E0,-5.083428955E-1
3.387508709E0,4.532424774E0,-6.095324707E0,-3.697311401E-1
3.407428708E0,4.713697815E0,-6.105353851E0,-6.969506836E-1
3.427348708E0,4.943769379E0,-6.254443817E0,-1.397493896E0
3.447268708E0,5.351371765E0,-6.482868805E0,-1.856140137E0
3.467189708E0,5.839207306E0,-6.663692780E0,-2.114502869E0
3.487109709E0,6.259682922E0,-7.005881195E0,-2.096091156E0
