"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.373836167E0,1.302839398E0,9.889049530E-1,2.348944426E0
3.393755167E0,-6.520307660E-1,-2.610364556E-1,1.904289246E0
3.413675167E0,-1.550030828E0,-7.883606553E-1,1.613768220E0
3.433594167E0,-2.456674099E0,-2.317724228E0,1.715454936E0
3.453514167E0,-2.903136730E0,-1.580742359E0,1.168905258E0
3.473433167E0,-1.986676812E0,-4.880474508E-2,8.374112844E-1
3.493353167E0,-6.276740432E-1,2.585332990E-1,7.190540433E-1
3.513272167E0,-1.388708949E-1,1.900803447E-1,5.354168415E-1
3.533192167E0,-1.797690801E-2,-5.551549420E-2,-1.195654273E-2
3.553111167E0,-2.448032349E-1,-5.581646562E-1,-5.890454054E-1
3.573031167E0,-7.703923583E-1,-1.003799081E0,-1.156427264E-1
3.592950167E0,-8.578868508E-1,-4.245776832E-1,9.481573105E-2
3.612870167E0,-2.880172431E-1,-3.931764364E-1,-2.202849835E-1
3.632789167E0,-4.385196790E-2,1.402594894E-1,-1.885172129E-1
3.652709167E0,-6.010586619E-1,-2.785482705E-1,7.118611131E-3
3.672628167E0,-9.255018234E-1,-1.134318113E-1,-2.573843896E-1
3.692548166E0,-1.862397939E-1,-7.790239900E-2,6.583053619E-3
3.712467167E0,2.032968216E-2,1.747114658E-1,1.048209295E-1
3.732387166E0,3.735494018E-1,7.851475477E-1,-1.690881103E-1
3.752306167E0,3.585003316E-1,7.163645625E-1,-2.684450448E-1
3.772226166E0,-7.140627503E-2,3.351425827E-1,-7.747909427E-2
3.792145167E0,-7.739765942E-2,3.957302272E-1,-2.005468495E-2
3.812065166E0,1.292663217E-1,4.195502996E-1,3.656784073E-2
3.831984167E0,1.027202979E-1,3.931020200E-1,1.849027276E-1
3.851904166E0,2.294395678E-2,3.799089193E-1,3.874520957E-1
3.871823166E0,-8.628246188E-2,6.174794436E-1,4.360148311E-1
3.891743166E0,2.060125023E-1,2.820195854E-1,9.792366028E-1
3.911662166E0,1.854645908E-1,4.117022753E-1,9.765023589E-1
3.931582166E0,3.178938851E-2,8.318682015E-2,5.626018047E-1
3.951501166E0,-1.487143487E-1,9.356702119E-2,7.344928980E-1
3.971421167E0,-4.224805832E-1,2.377663404E-1,8.386096954E-1
3.991340166E0,-2.324258387E-1,-2.159611508E-2,4.714085460E-1
4.011260167E0,8.383146673E-2,-3.560785949E-1,2.062000185E-1
4.031179166E0,1.403730661E-1,-6.251527667E-1,1.741347909E-1
4.051099167E0,1.640201658E-1,-7.560766935E-1,2.638963461E-1
4.071018166E0,1.453513503E-1,-9.630244970E-1,4.636963010E-1
4.090938167E0,1.403525770E-1,-9.539775848E-1,4.885110557E-1
4.110857166E0,7.759181410E-2,-9.574364424E-1,4.277129471E-1
4.130777167E0,-6.604073197E-2,-9.513713121E-1,3.781297207E-1
4.150696625E0,-1.050069183E-1,-9.862698317E-1,3.715663254E-1
4.170616625E0,-1.681082696E-1,-8.320098519E-1,4.999448359E-1
4.190535625E0,-1.881096959E-1,-8.096984625E-1,4.054819643E-1
4.210455625E0,-1.381943375E-1,-9.487010837E-1,3.339667618E-1
4.230374625E0,-1.097014174E-1,-1.081218123E0,2.774174809E-1
4.250294625E0,-1.142059118E-1,-1.192635179E0,3.061953485E-1
4.270213625E0,-1.907663792E-1,-1.186706901E0,3.702539206E-1
4.290132625E0,-2.030662000E-1,-1.244601727E0,3.490136564E-1
4.310052625E0,-1.454304904E-1,-1.248577237E0,2.517909706E-1
4.329971625E0,-5.856725946E-2,-1.260772705E0,2.462726086E-1
4.349891625E0,-2.214381844E-2,-1.326860428E0,2.728083730E-1
4.369810625E0,-1.923967712E-2,-1.350105882E0,3.657303154E-1
4.389730625E0,-1.159250066E-1,-1.098813295E0,5.037377477E-1
4.409649625E0,-2.204836160E-1,-9.220433831E-1,5.952393413E-1
4.429569625E0,-2.362290174E-1,-9.526182413E-1,6.176440716E-1
4.449488625E0,-2.013005465E-1,-1.056173563E0,6.935153604E-1
4.469408625E0,-2.493077517E-1,-1.251425624E0,6.869608164E-1
4.489327625E0,-2.516010106E-1,-1.494255304E0,3.669918180E-1
4.509247625E0,-2.270979434E-1,-1.631056190E0,-2.940667868E-1
4.529166625E0,-5.336145759E-1,-1.742376447E0,-8.272691965E-1
4.549086625E0,-7.228617072E-1,-1.426685572E0,-3.907930553E-1
4.569005625E0,-4.927886128E-1,-1.119070411E0,-1.030986428E0
4.588925625E0,-6.985907555E-1,-7.507759333E-1,-1.413580179E0
4.608844625E0,-1.051582098E0,-3.954183757E-1,-2.265417576E0
4.628764625E0,-1.361822128E0,1.518564671E-1,-2.376957655E0
4.648683625E0,-1.338175297E0,5.539982915E-1,-2.191601992E0
4.668603625E0,-9.469705820E-1,3.394002020E-1,-1.737694502E0
4.688522625E0,-1.001065850E0,-3.738418221E-1,-1.269548655E0
4.708442625E0,-9.689313769E-1,-7.353558540E-1,-1.543335676E0
4.728361625E0,-1.028345227E0,-8.520282507E-1,-1.518990159E0
4.748281625E0,-9.971609712E-1,-5.651884675E-1,-1.382756114E0
4.768200625E0,-7.413083911E-1,-3.112528026E-1,-1.282508612E0
4.788120625E0,-5.718058944E-1,-1.649760902E-1,-1.583516121E0
4.808039625E0,-5.105599165E-1,4.789834097E-2,-1.774178505E0
4.827959625E0,-5.777454376E-1,-4.114162922E-2,-1.557773232E0
4.847878625E0,-6.061314940E-1,-9.935001843E-3,-1.419099808E0
4.867798625E0,-6.483671665E-1,-1.856740415E-1,-1.145326018E0
4.887717625E0,-4.942413568E-1,-3.590437025E-2,-9.374223351E-1
4.907637625E0,-3.450508714E-1,8.364783973E-2,-5.867260695E-1
4.927556625E0,-4.773546383E-2,2.646078467E-1,-2.944082022E-1
4.947476625E0,3.912260532E-1,4.483019412E-1,1.128415987E-1
4.967395625E0,7.007254958E-1,3.980292976E-1,5.294833183E-1
4.987315625E0,8.799935579E-1,3.235312104E-1,7.844743133E-1
5.007234625E0,7.801473141E-1,5.613380671E-1,8.091764450E-1
