"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.985849750E0,-2.149258134E-1,-1.178996896E0,-5.738363886E-1
3.005768750E0,2.762443945E-1,-3.963809949E-1,1.298362541E-1
3.025688750E0,8.140549180E-1,-1.857795483E0,1.191400522E0
3.045607750E0,1.854593548E0,-2.398295726E0,6.848937249E-1
3.065527750E0,1.767289941E0,-3.225056936E0,-6.810158515E-1
3.085447750E0,1.844576098E0,-4.319352236E0,1.704077446E-1
3.105366750E0,2.238186682E0,-3.032921523E0,2.375852358E-1
3.125286750E0,-2.046965481E0,-2.836183766E0,-2.180426717E0
3.145206750E0,-3.715298021E0,-4.414296985E0,-5.084414796E0
3.165125750E0,-9.692140013E0,1.307436250E0,-2.894086404E0
3.185045750E0,-8.417942260E0,1.768221402E-1,8.724398925E0
3.204964750E0,2.951188558E0,7.195775955E0,1.195749754E0
3.224884750E0,6.975052335E0,7.045102564E0,-3.950078348E0
3.244804750E0,6.811919696E0,4.535696876E0,-2.697906471E0
3.264723750E0,5.187515241E-1,1.184502050E0,3.528561123E-1
3.284643750E0,1.367880088E0,1.805818999E-1,1.018210745E0
3.304563750E0,6.265642405E-1,-3.944058055E-1,3.350407791E-1
3.324482750E0,-7.900053200E-1,-9.880280024E-1,-3.546754369E-1
3.344402750E0,-1.813966509E0,-1.674718577E0,-3.607531790E-1
3.364321750E0,-4.959758005E0,4.676398426E-1,4.232202995E-1
3.384241750E0,4.392931259E-1,-8.089500064E-1,-1.956700552E-1
3.404161750E0,3.925166870E0,-5.256138164E-1,-2.466763406E-1
3.424080750E0,1.009491377E0,5.276199961E-1,3.825413664E-1
3.444000750E0,8.230271780E-1,4.225081086E-2,2.572497144E-1
3.463919750E0,-3.711438274E-1,-4.258924770E-1,-6.035648024E-1
3.483839750E0,-7.350406158E-1,-5.851986980E-1,-8.202145211E-1
3.503759750E0,-5.025564909E-1,-4.205832052E-1,-6.269101033E-1
3.523678750E0,-2.653405067E-1,-9.656910539E-2,-6.321541786E-1
3.543598750E0,6.956596184E-1,8.457927275E-1,-4.617019951E-1
3.563518750E0,1.026764637E0,2.151169004E0,-1.728597745E-1
3.583437750E0,1.994361006E0,2.869843263E0,-2.008451334E-1
3.603357750E0,1.429049273E0,1.483206477E0,6.639601082E-2
3.623276750E0,-9.857613292E-1,-3.530490924E0,-2.408408193E-1
3.643196750E0,3.566798624E-1,-1.047836832E0,-1.628106912E0
3.663116750E0,1.699390611E0,4.122848368E-1,-1.190069768E0
3.683035750E0,3.256334277E0,1.126460833E0,-9.658629620E-1
3.702955750E0,2.855615526E0,1.454756849E0,-6.672284093E-1
3.722874750E0,2.238344265E0,1.564087502E0,-4.969466722E-1
3.742794750E0,2.041848583E0,1.113982875E0,-7.870877056E-1
3.762714750E0,1.654310625E0,1.293947893E0,-9.563752699E-1
3.782634125E0,1.402358488E0,1.625159916E0,-6.247000019E-1
3.802554125E0,1.491385854E0,1.167470865E0,-4.474841979E-1
3.822474125E0,1.665527046E0,8.161900288E-1,-3.793158960E-1
3.842393125E0,9.013909775E-1,1.563813268E0,-2.876357938E-1
3.862313125E0,7.621257958E-1,1.652821339E0,-1.373297533E-1
3.882232125E0,9.204379901E-1,2.571551650E0,-3.620750883E-1
3.902152125E0,9.159101987E-1,2.640402614E0,-6.920270357E-1
3.922072125E0,1.338079754E0,2.424383079E0,-5.781589428E-1
3.941991125E0,1.726252719E0,2.377725806E0,-3.046229786E-1
3.961911125E0,2.001372694E0,2.009531899E0,-2.507900029E-2
3.981830125E0,2.637636004E0,1.009306605E0,4.279869497E-3
4.001750125E0,2.999393004E0,5.467017996E-1,-9.028320238E-2
4.021670125E0,2.795028139E0,8.460377258E-1,-3.395080519E-1
4.041589125E0,2.810317438E0,1.194751049E0,-7.458687821E-1
4.061509125E0,2.790858489E0,7.327432448E-1,-1.730774664E0
4.081429125E0,2.853430129E0,-1.854967770E0,-3.121508302E0
4.101348125E0,4.019656706E0,-5.390812989E0,5.418930495E-1
4.121268125E0,4.748862970E-1,-5.849004900E0,9.084071977E-1
4.141187125E0,-3.763079714E0,-4.328059325E0,-8.658134477E-1
4.161107125E0,-1.824106020E0,8.169735557E-1,-3.966615443E0
4.181027125E0,-3.484266930E0,8.561721200E-1,-2.788036623E0
4.200946125E0,-3.327651597E0,1.153149279E0,-4.719077253E-1
4.220866125E0,-3.198374045E0,2.858721274E-1,-2.286283247E-1
4.240785125E0,-2.539768524E0,-2.434324515E-1,2.401899511E0
4.260705125E0,-1.274060051E0,-7.353932029E-1,3.405709587E0
4.280625125E0,-2.580062857E0,-1.105237194E0,2.105095722E0
4.300544125E0,-1.496856509E0,1.510394275E-1,4.300510899E-1
4.320464125E0,2.246728003E0,5.182515872E-1,-1.182615738E0
4.340384125E0,4.682867493E0,8.473018938E-1,-7.893822992E-1
4.360303125E0,3.918506599E0,2.339350530E0,5.082754333E-2
4.380223125E0,1.069681445E0,3.710268247E0,-1.232067980E0
4.400142125E0,-2.444951281E-1,4.928202336E0,-8.528304362E-1
