"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.320030750E0,-3.157350272E-2,3.871613245E-2,6.288680434E-3
4.339949750E0,-1.081924930E-2,1.719044857E-2,3.472076654E-3
4.359867750E0,-6.080373377E-3,5.537422858E-2,-2.202002943E-2
4.379785750E0,-1.105269939E-3,6.271339785E-2,-2.962784171E-2
4.399704750E0,7.428887486E-4,5.322486520E-2,-8.419405818E-3
4.419622750E0,1.476860493E-3,7.607519925E-3,-3.453950286E-3
4.439541750E0,-1.579289094E-2,8.664367609E-3,-2.869404137E-2
4.459459750E0,-4.103678271E-2,1.330040563E-2,-6.620217562E-3
4.479377750E0,-1.149357945E-2,1.899394915E-3,2.798360467E-2
4.499296750E0,-7.194706500E-3,1.031105317E-2,1.280306339E-2
4.519214750E0,-1.632074833E-2,2.096928477E-2,-1.623245537E-2
4.539132750E0,1.157777935E-2,4.456316538E-2,-1.862396657E-2
4.559051750E0,1.979297116E-2,5.172943980E-2,7.327145934E-3
4.578969750E0,4.844929799E-2,6.761774998E-2,2.009103298E-3
4.598887750E0,3.767931148E-2,6.409038059E-2,-1.716684043E-2
4.618806750E0,9.668224901E-3,4.985851351E-2,-3.011316061E-3
4.638724750E0,1.145221040E-2,5.119303085E-2,-5.005216599E-4
4.658643750E0,8.735447824E-3,4.780548301E-2,2.652297020E-2
4.678561750E0,1.199410111E-2,3.961616512E-2,-2.296435475E-2
4.698479750E0,-4.200055003E-3,4.466044843E-2,-1.545594513E-2
4.718398750E0,1.099378869E-2,1.465955436E-2,5.122745633E-3
4.738316750E0,1.262823164E-2,9.786229022E-3,3.158081174E-3
4.758234750E0,1.203459308E-2,2.072454225E-2,-1.435491443E-3
4.778153750E0,-1.137663513E-2,1.081548516E-2,-1.222945154E-2
4.798071750E0,-2.668581516E-2,2.642064393E-3,7.746976018E-3
4.817990750E0,-1.422934547E-2,-1.968275115E-2,-1.468645155E-2
4.837908750E0,-4.161507234E-2,-1.872461177E-3,1.357723475E-3
4.857826750E0,-1.388114378E-2,6.249211729E-4,-1.773460507E-2
4.877745750E0,-2.459353521E-2,1.725878790E-2,-8.536934853E-4
4.897663750E0,-1.576730937E-2,4.184939951E-2,2.300294638E-3
4.917581750E0,-2.019248217E-2,5.148323547E-2,4.867222309E-3
4.937500750E0,4.897627831E-3,7.014838837E-2,3.297244906E-3
4.957418750E0,1.410874665E-2,4.005255014E-2,2.978571653E-3
4.977336750E0,7.273936272E-3,4.810789369E-2,-1.880815387E-2
4.997255750E0,4.139448613E-2,4.081319980E-2,-1.744575262E-2
5.017173750E0,4.656006262E-2,6.141966484E-2,-2.170486450E-3
5.037092750E0,1.953715548E-2,3.830193032E-2,-1.585764885E-3
5.057010750E0,2.019891411E-2,2.404407967E-2,2.932963371E-3
5.076928750E0,1.423767775E-2,1.725608356E-2,2.099852085E-2
5.096847750E0,1.908794314E-2,9.589360580E-3,-6.165888906E-3
5.116765750E0,1.955177352E-2,1.415113896E-2,-4.734490514E-3
5.136683750E0,3.331407264E-2,1.097240981E-2,-1.008995533E-2
5.156602750E0,1.082319617E-3,1.923437934E-2,-6.919010282E-3
5.176520750E0,-7.954113632E-3,1.607183967E-2,-2.073481143E-2
5.196439750E0,1.254666299E-3,3.667143423E-2,-4.599244416E-2
5.216357750E0,-9.645420760E-3,2.673003472E-2,-9.031609297E-3
5.236275750E0,-6.780577451E-3,1.525713980E-2,1.856490970E-3
5.256194750E0,-2.996493369E-2,-3.046289720E-2,-4.738583565E-3
5.276112750E0,-1.998022825E-2,-2.586300228E-2,6.431937218E-5
5.296030750E0,3.887521327E-3,6.532947868E-3,4.482475519E-3
5.315949750E0,1.922622979E-2,1.125625558E-3,1.670666456E-2
5.335867750E0,3.683745861E-4,1.025820896E-2,-1.317202270E-2
5.355785750E0,-3.679360449E-4,2.015250184E-2,-2.173760891E-2
5.375704750E0,3.268549696E-2,1.990673605E-2,5.971761346E-3
5.395622750E0,2.186186224E-2,3.477660745E-2,1.640436351E-2
5.415541750E0,-1.207625449E-2,3.368635755E-2,9.065523148E-3
5.435459750E0,-2.283980906E-2,3.448921680E-2,-3.386707306E-3
5.455377750E0,-4.891634434E-3,5.726057690E-2,-1.306794226E-2
5.475297125E0,1.412277997E-2,5.573372271E-2,-3.327708900E-2
5.495215125E0,2.223126009E-2,3.969312910E-2,-2.234513462E-2
5.515133125E0,2.389903218E-3,2.516115367E-2,5.871189237E-3
5.535052125E0,2.579206824E-2,7.919286154E-3,8.766145706E-3
5.554970125E0,1.399589539E-2,9.028722234E-3,1.369827211E-2
5.574888125E0,1.899365678E-2,1.427674446E-2,-2.094121814E-2
5.594807125E0,9.405100197E-3,9.320498295E-3,-2.693987668E-2
5.614725125E0,-4.754517227E-3,3.623556085E-3,-1.836025715E-2
5.634644125E0,2.213317305E-3,1.301407479E-3,-7.185643315E-3
5.654562125E0,-2.771565601E-2,1.318039153E-2,1.136640251E-2
5.674480125E0,3.989262879E-4,1.818085726E-2,-8.980738521E-3
5.694399125E0,2.713546604E-2,4.135041274E-2,3.092007637E-3
5.714317125E0,2.191609517E-2,4.925687157E-2,1.917886734E-4
5.734235125E0,2.078041971E-2,5.351612963E-2,-2.307369769E-2
5.754154125E0,5.260009021E-3,1.763615258E-2,-2.346487641E-2
5.774072125E0,1.370748147E-2,8.915688246E-3,2.892617583E-3
5.793990125E0,3.596476167E-3,-2.312793061E-3,-1.743639708E-3
5.813909125E0,-2.494948447E-2,7.185241319E-3,2.594409585E-3
5.833827125E0,-1.557522833E-2,6.869747490E-4,-6.686875820E-3
5.853746125E0,-1.737938672E-2,1.060578939E-2,9.944359660E-3
5.873664125E0,-4.430142939E-3,2.493497606E-2,-9.698776603E-3
5.893582125E0,-2.626423091E-3,2.672290843E-2,-1.900228143E-2
5.913501125E0,1.207625449E-2,3.495319337E-3,5.630283952E-3
5.933419125E0,1.559832484E-2,7.141460292E-3,-2.424840331E-3
5.953337125E0,-5.741527230E-3,3.344607353E-2,1.657685637E-3
5.973256125E0,-1.997262686E-3,5.776636105E-2,-1.359594584E-2
5.993174125E0,-1.705340445E-2,2.685516514E-2,1.714579046E-2
6.013092125E0,1.219144464E-2,6.244314685E-3,1.404968977E-2
6.033011125E0,9.460794926E-3,-6.605745703E-3,-1.041213691E-2
6.052929125E0,2.896637544E-2,-3.589276783E-3,-1.633127332E-2
6.072848125E0,8.592629582E-3,-1.111091573E-2,7.838192582E-3
