"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.577868375E0,9.225122929E-1,-8.468166739E-2,1.548036933E0
6.597788375E0,4.424334466E-1,-1.238818914E-1,1.368893981E0
6.617707375E0,9.497362375E-2,-2.006880641E-1,1.221701860E0
6.637626375E0,5.257233977E-2,-4.863582850E-1,1.033944845E0
6.657546375E0,1.855138093E-1,-6.328412890E-1,6.986355186E-1
6.677465375E0,2.167715132E-1,-6.131411195E-1,5.544708967E-1
6.697384375E0,1.374789774E-1,-9.879930317E-2,2.721688449E-1
6.717304375E0,5.448561162E-2,4.813244641E-1,-6.518547982E-2
6.737223375E0,-2.652700618E-2,8.213702440E-1,-7.682456076E-2
6.757142375E0,4.977357015E-2,1.006620884E0,5.716839433E-2
6.777062375E0,4.075363874E-1,5.752457380E-1,-1.624044478E-1
6.796981375E0,6.436056495E-1,-9.120550752E-1,-7.996451259E-1
6.816900375E0,3.216444552E-1,-1.909453630E0,-1.143143296E0
6.836820375E0,-2.905785739E-1,-1.843617201E0,-1.132634521E0
6.856739375E0,-8.793050647E-1,-1.165703893E0,-8.083514571E-1
6.876658375E0,-1.121468425E0,-1.718392074E-1,-6.277543306E-1
6.896578375E0,-1.136538267E0,5.560710430E-1,-1.107084155E0
6.916497375E0,-1.197736979E0,1.074254751E0,-1.584589958E0
6.936416375E0,-1.238048911E0,1.916393042E0,-1.897005081E0
6.956336375E0,-1.153597593E0,3.086658478E0,-1.894830108E0
6.976255375E0,-8.974684477E-1,3.808676243E0,-1.637677193E0
6.996174375E0,-5.840367079E-1,3.597332954E0,-1.247545838E0
7.016094375E0,-4.422460198E-1,2.325735092E0,-7.201987505E-1
7.036013375E0,-5.655497313E-1,6.881626248E-1,-5.586413145E-1
7.055932375E0,-6.345204115E-1,-4.030682743E-1,-7.671921253E-1
7.075852375E0,-6.262999773E-1,-7.351444960E-1,-1.048249245E0
7.095771375E0,-6.270114183E-1,-9.966673255E-1,-1.266994357E0
7.115690375E0,-5.443912148E-1,-1.352509975E0,-1.335217118E0
7.135610375E0,-4.524297714E-1,-1.588690877E0,-1.229998350E0
7.155529375E0,-3.902497888E-1,-1.450997710E0,-9.279404283E-1
7.175448375E0,-3.779709041E-1,-9.317936301E-1,-3.490107954E-1
7.195368375E0,-2.774527967E-1,-2.301702201E-1,1.080291793E-1
7.215287375E0,1.083156690E-1,4.493701160E-1,3.933477402E-1
7.235206375E0,6.049748659E-1,7.244830728E-1,7.259563208E-1
7.255126375E0,1.051163793E0,7.150795460E-1,1.085407734E0
7.275045375E0,9.723763466E-1,5.345678926E-1,1.347454786E0
7.294964375E0,5.238565803E-1,6.412551403E-1,1.071250319E0
7.314884375E0,6.116871238E-1,3.541104496E-1,-1.002417356E-1
7.334803375E0,4.306825995E-2,-6.584083289E-2,-4.024229050E-1
7.354722375E0,-8.802203536E-1,3.621777296E-1,-4.109841585E-1
7.374642375E0,-8.993979692E-1,2.064021081E-1,2.892051078E-2
7.394561375E0,-4.167422652E-1,-4.467147887E-1,-8.989535272E-2
7.414480375E0,-2.678348124E-1,-1.898174286E0,-6.080927253E-1
7.434400375E0,6.640841961E-1,-2.472127438E0,-6.996644139E-1
7.454319375E0,1.042154074E0,-2.302936554E0,-6.622704864E-1
7.474238375E0,9.192036986E-1,-5.405294895E-1,-3.339620829E-1
7.494158375E0,5.640094280E-1,-1.818895340E-1,4.165960550E-1
7.514077375E0,2.679349482E-1,-1.136179686E0,1.365773082E0
7.533996375E0,-1.024574414E-2,-1.187691927E0,1.631125093E0
7.553916375E0,2.002460063E-1,-4.524887502E-1,1.945047140E0
7.573835375E0,7.620770335E-1,-5.211599916E-2,1.797687173E0
7.593754375E0,9.557541609E-1,7.406789064E-1,1.648031950E0
7.613674375E0,1.059581995E0,1.470370054E0,1.566922903E0
7.633593375E0,9.982392192E-1,1.278891802E0,9.260550737E-1
7.653512375E0,7.664478421E-1,7.438612580E-1,5.892357826E-1
7.673432375E0,3.738437891E-1,5.389987230E-1,4.492269754E-1
7.693351375E0,-1.087725833E-1,1.304271966E-1,5.139740705E-1
7.713270375E0,-9.948418289E-2,-5.340143442E-1,5.562195182E-1
7.733190375E0,4.871386886E-1,-1.072515488E0,6.378000975E-1
