"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.094963875E0,-3.706169933E-1,2.627003719E0,5.349313545E-1
3.114882875E0,-8.951949754E-1,1.402658742E0,-2.340125871E-1
3.134802166E0,3.560369611E-1,7.487125754E-2,-6.854046254E-1
3.154721166E0,2.082987253E0,-9.737648892E-1,4.594954021E-1
3.174641166E0,1.132684025E0,3.051106364E-1,-1.261712193E-2
3.194560166E0,-1.502112279E0,-2.098659253E-1,-2.727967300E-2
3.214480167E0,-9.885855344E-1,-5.394243550E-1,-6.856480157E-1
3.234399166E0,-3.091785443E-1,1.229072451E0,-8.160899683E-1
3.254319167E0,-6.489169765E-1,3.712536381E0,-2.810277092E-1
3.274238166E0,9.922160706E-1,-6.871361321E-1,1.584666193E0
3.294158167E0,-5.259120244E-1,-1.607362161E0,-2.584744868E-1
3.314077166E0,-5.614727435E-1,1.621076805E0,-2.611666180E-2
3.333997167E0,-1.272688587E0,5.143724858E0,-1.551625916E0
3.353916166E0,-2.066561255E0,4.844018219E0,-2.382813469E0
3.373836167E0,-1.981821944E0,2.289067399E0,-1.235578794E0
3.393755167E0,2.638713938E0,-2.166061862E0,-8.660017280E-1
3.413675167E0,9.119963649E-1,-2.835511336E0,2.808646889E0
3.433594167E0,5.775382608E-1,2.316004352E0,2.703921356E-1
3.453514167E0,1.452068738E0,1.813030370E0,-3.847280788E-1
3.473433167E0,2.265720782E0,-2.763764246E0,-6.430066109E-1
3.493353167E0,1.233436813E0,-4.868762466E0,-5.359815145E-1
3.513272167E0,-8.985123932E-3,-6.601654406E0,-2.080942190E-1
3.533192167E0,-2.686312466E-1,-7.989372343E0,3.242129417E-1
3.553111167E0,-4.874943923E-1,-5.758279502E-1,5.702286565E-1
3.573031167E0,-9.557010859E-2,2.867979171E0,-1.868197095E-1
3.592950167E0,1.451654024E0,3.198763177E0,-4.888904516E-1
3.612870167E0,1.324738162E0,2.034403031E0,-3.693382072E-1
3.632789167E0,-4.356094166E-1,-1.733573141E0,3.509241557E-1
3.652709167E0,-1.183761500E-1,-2.395185007E0,4.392627203E-1
3.672628167E0,-1.155232569E0,2.348327175E0,-3.792363008E-1
3.692548166E0,-1.770376832E0,-1.787151763E0,1.278393130E0
3.712467167E0,-9.993943318E-1,-1.884323716E-2,2.819995165E-2
