"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.485942292E0,-1.972467569E-1,1.691922255E0,9.124755442E-2
3.505861292E0,-1.126106492E-1,1.373592818E0,-3.984552947E-1
3.525779292E0,-1.415511507E-1,1.427959059E0,-3.014257210E-1
3.545698292E0,6.547448963E-1,1.456453126E0,3.532019386E-1
3.565617292E0,1.151103046E0,9.312527078E-1,4.014996475E-1
3.585536291E0,1.237494780E0,1.082806690E0,2.645227736E-1
3.605454292E0,1.390090444E0,7.021231306E-1,1.102346331E-2
3.625373292E0,2.194927812E0,1.648675078E0,2.735960443E0
3.645292291E0,1.044513860E0,1.132571758E0,-1.978259236E-1
3.665211292E0,2.237800766E0,1.017918384E-1,-1.365637681E-1
3.685129291E0,2.363179980E0,-1.711649591E-1,-6.542189392E-1
3.705048291E0,2.437320628E0,-2.026159042E0,-1.265416697E0
3.724967292E0,3.694636300E-2,-4.603764313E0,-3.576751170E0
3.744886292E0,-1.427160915E0,-1.040465014E1,-1.233747885E-1
3.764805292E0,7.355373952E0,-7.953062888E0,-6.265502071E0
3.784723292E0,-8.765073912E0,3.891590989E-1,4.519218545E0
3.804642292E0,-1.647651815E0,8.560883878E0,-3.377699670E-1
3.824561291E0,1.374864149E0,2.611869956E0,2.471406679E0
3.844480291E0,1.278642222E0,-4.817205226E-1,1.275393216E0
3.864398291E0,-1.450109482E-1,-4.601382158E0,2.168202235E0
3.884317291E0,-3.555334427E-1,-2.997846415E0,3.330078192E0
3.904236292E0,-3.644998409E0,-8.953636676E-1,1.541531868E0
3.924155292E0,-2.864983642E0,1.168705797E0,-6.019237813E-1
3.944073291E0,-1.370274377E0,2.527233263E0,-1.226911612E0
3.963992333E0,7.624883232E-1,3.435412858E0,-5.048203866E-1
3.983911333E0,8.738707647E-1,2.896360386E0,3.398297949E-1
4.003830333E0,1.566287079E-1,1.997338116E0,8.257588510E-1
4.023749333E0,1.052355853E0,2.051120220E0,7.041649783E-1
4.043667333E0,4.458310439E-1,1.722423086E0,8.232025945E-1
4.063586333E0,-2.543703993E-1,8.524895436E-1,3.576788592E-1
4.083505333E0,-1.939669074E-1,8.707907438E-2,9.809654430E-2
4.103424333E0,3.715671659E-1,-4.883693916E-1,2.241611981E-1
4.123342333E0,8.092072839E-1,-4.635871375E-1,4.139602102E-2
4.143261333E0,1.621163490E0,-2.017131525E-1,3.415958002E-2
4.163180333E0,1.431420026E0,6.759942627E-1,4.082922117E-1
4.183099333E0,1.362744332E0,5.317972469E-1,1.632158887E-1
4.203017333E0,9.069614737E-1,6.705943590E-1,-5.062789746E-1
4.222936333E0,5.566397274E-1,4.686280221E-1,-4.016218543E-1
4.242855333E0,6.899373870E-1,9.846126437E-3,-5.286906213E-3
4.262774333E0,8.791472921E-1,-8.542425388E-1,4.618926144E-1
4.282692333E0,1.545347761E0,-1.545379336E0,4.645741840E-1
4.302611333E0,2.236112675E0,-2.124226204E0,-5.923078159E-1
4.322530333E0,2.295444372E0,-2.579770496E0,-1.555167575E0
4.342449333E0,1.490195946E0,-1.797760366E0,-1.858178476E0
4.362367333E0,-8.936138883E-1,-2.256563897E0,-1.889214327E0
4.382286333E0,-1.705196896E0,-2.926489919E0,-1.862466824E0
4.402205333E0,-1.034433260E0,-1.607106053E0,-1.482170935E0
4.422124333E0,7.312621450E-1,-2.063823881E0,-1.758442519E0
4.442043333E0,2.810886957E0,-3.009656036E0,-2.374776471E0
4.461961333E0,2.219733162E0,-2.981713947E0,-1.911204536E0
4.481880333E0,8.516399431E-1,-2.245109201E0,-9.890974581E-1
4.501799333E0,-5.187912852E-1,-7.304546446E-1,-1.292340275E-1
4.521718333E0,1.810854913E-1,1.566644490E-2,1.837931176E-1
4.541636333E0,4.557493834E-1,-1.018873234E0,4.787852935E-1
4.561555333E0,-4.690094067E-1,-1.152937610E0,9.416403595E-1
4.581474333E0,-8.093387000E-2,-4.015189433E-1,1.049725922E0
4.601393333E0,3.355721814E-1,-2.661851370E-1,-3.473982847E-1
4.621311333E0,-2.207679566E0,-3.176581764E-1,-2.441367778E0
4.641230333E0,-4.420755527E0,-2.126822367E0,-2.835690261E0
4.661149333E0,-5.809557245E0,4.728526354E-1,5.892496490E-1
4.681068333E0,-1.300295046E0,1.662971520E0,1.562888531E0
4.700986333E0,3.548760695E-1,1.541192145E0,1.977027812E0
4.720905333E0,1.993858145E-1,1.025820896E0,1.780938219E0
4.740824333E0,9.662412769E-1,5.670512795E-2,1.073389750E0
4.760743333E0,-9.135947013E-1,6.199323285E-1,-7.166280261E-1
4.780661333E0,-2.760102135E0,1.873171906E0,-6.066530094E-1
4.800580333E0,-1.243845149E0,1.901289997E0,-4.243143135E-1
4.820499333E0,-6.875360817E-2,1.499986816E0,-1.078822982E-1
4.840418333E0,2.175539906E-1,1.417076222E0,4.869157737E-1
4.860336333E0,1.803899212E0,7.536411935E-1,1.204938361E0
4.880255333E0,2.918612258E0,6.031063807E-1,1.898630683E0
4.900174333E0,3.548063268E0,1.535415096E0,2.203507431E0
4.920093333E0,3.723587034E0,2.844686787E0,2.902734436E0
4.940011333E0,2.527171867E0,3.720306746E0,2.594327724E0
4.959931292E0,8.710776959E-1,3.074285896E0,-1.538710294E0
4.979850292E0,-4.913330528E-1,6.794575685E-1,-2.830736792E0
4.999769291E0,-7.687566845E-1,-8.578273498E0,-9.440430535E-1
5.019687292E0,-5.080790691E0,-1.156757479E1,6.046903914E-1
5.039606291E0,-3.285297291E0,1.978008975E0,3.171183615E0
5.059525291E0,-2.689097056E0,3.500392381E0,1.949904917E0
5.079444292E0,-2.021803304E0,8.703217971E-1,1.317800148E-1
5.099362291E0,-2.787048151E0,8.954969841E-1,3.412549075E-1
5.119281291E0,-2.196112165E0,1.674758922E0,1.929420659E0
5.139200292E0,-1.415108926E0,1.559939488E0,2.927193631E0
5.159119292E0,-1.514039429E0,1.131108785E-1,2.231021504E0
5.179037292E0,1.969203360E-2,-6.706773895E-1,9.614297493E-1
5.198956292E0,1.751786341E0,7.728381872E-1,4.886388020E-1
5.218875292E0,2.277637554E0,1.860623197E0,-1.893958466E-1
5.238794291E0,1.483579821E0,1.735358296E0,-4.592531081E-1
5.258712292E0,-4.155586928E-2,9.804318845E-1,-9.050378859E-1
