"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.965581500E0,6.708907895E-3,-8.865058422E-3,-2.928950824E-3
2.985500500E0,-1.841888297E-5,-6.671797484E-3,-2.887150273E-3
3.005418500E0,-5.720167421E-3,1.155621465E-2,-1.521468395E-3
3.025336500E0,-9.067186154E-3,1.810153760E-2,-5.748443305E-3
3.045255500E0,-1.207604539E-3,1.417208370E-2,-3.757460276E-3
3.065173500E0,3.723443719E-3,-2.065781038E-3,-5.337250885E-3
3.085091500E0,-8.136621909E-4,-2.663048683E-3,-4.025104456E-3
3.105010500E0,-5.457289983E-3,3.003048245E-3,-1.191251213E-3
3.124928500E0,-6.350397598E-3,1.285002194E-2,1.844516140E-3
3.144847500E0,-1.377042150E-3,8.192982525E-3,8.390812203E-3
3.164765500E0,6.697395351E-3,-4.420814104E-3,7.051773835E-3
3.184683500E0,3.271692432E-3,-7.762554567E-3,2.365929075E-3
3.204602500E0,-8.111989126E-3,-7.586519700E-3,-1.919363276E-3
3.224520500E0,-9.384494275E-3,-1.129438914E-2,-5.207805894E-3
3.244438500E0,-7.490104064E-3,-7.335984148E-3,-8.467791602E-3
3.264357500E0,-1.179803349E-2,3.105204552E-3,-5.995312706E-3
3.284275500E0,-1.174837258E-2,1.171036530E-2,-6.163108628E-3
3.304194500E0,-8.375456557E-3,4.110343289E-3,-1.801399048E-3
3.324112500E0,-1.282046898E-3,-1.193120051E-2,1.513184980E-3
3.344030500E0,5.402057897E-3,-1.876795478E-2,3.968351521E-3
3.363949500E0,-1.621109201E-3,-3.763891757E-3,4.287938122E-3
3.383867500E0,-7.957185619E-3,1.168956701E-2,5.882668775E-3
3.403785500E0,-4.320451990E-3,1.471997611E-2,6.190785207E-3
3.423704500E0,-2.778379014E-3,7.536634803E-5,3.686612472E-3
3.443622500E0,-2.661774866E-3,-3.733561141E-3,5.764416419E-3
3.463541750E0,-5.244008498E-4,9.458744898E-4,9.804951958E-3
3.483459750E0,-4.387890920E-3,3.039045725E-3,8.220909163E-3
3.503377750E0,-1.978692599E-3,5.730711855E-4,2.053292701E-3
3.523296750E0,2.453872934E-3,5.535269156E-5,2.138779964E-3
3.543214750E0,9.186325595E-3,-5.208883900E-3,7.110626437E-3
3.563132750E0,5.074484274E-3,-1.272485033E-2,5.069325678E-3
3.583051750E0,-6.495880079E-4,-9.707268327E-3,4.320695065E-3
3.602969750E0,-2.769772662E-3,4.011399578E-3,1.929182094E-3
3.622887750E0,-5.547262728E-3,1.192231290E-2,-5.062918644E-4
3.642806750E0,-5.086391233E-3,4.902673885E-3,-8.527770406E-4
3.662724750E0,6.995458971E-4,-5.464428104E-3,5.070123356E-3
3.682643750E0,1.378385583E-3,-1.327734441E-2,3.337470815E-3
3.702561750E0,-3.929191735E-3,-7.540515158E-3,4.260520451E-3
3.722479750E0,-6.987873930E-3,-9.580538608E-4,6.203035824E-3
3.742398750E0,-1.060948591E-3,1.826586667E-3,4.693825729E-3
3.762316750E0,3.919476178E-3,3.813787829E-3,-3.034696914E-3
3.782234750E0,-2.059344202E-3,1.482881140E-3,-8.052876219E-3
3.802153750E0,-4.740082193E-3,2.165483311E-4,-9.740521200E-3
3.822071750E0,-1.541788923E-3,6.083338987E-3,-8.083504625E-3
3.841990750E0,-1.795466989E-3,1.425692532E-2,-8.272848092E-3
3.861908750E0,-2.583108610E-3,1.340239681E-2,-1.304495893E-2
3.881826750E0,-2.113205614E-3,5.540289450E-3,-1.350621227E-2
3.901745750E0,-3.819408594E-3,3.400056157E-3,-1.005796157E-2
3.921663750E0,-2.257754793E-3,2.939016558E-4,-1.042573154E-2
3.941581750E0,2.359559759E-3,-2.267654287E-3,-8.809227496E-3
3.961500750E0,-2.316638711E-4,-6.030914374E-3,-8.472830057E-3
3.981418750E0,-4.684052896E-3,-1.151404111E-3,-8.232375607E-3
4.001336750E0,-7.246117108E-3,5.012368318E-3,-1.283245161E-2
4.021255750E0,-8.291636594E-3,1.016225666E-3,-9.989776649E-3
4.041173750E0,-3.709644079E-3,-2.622874686E-3,-8.048611693E-3
4.061092750E0,5.978131667E-4,-4.862287082E-3,-8.520520292E-3
4.081010750E0,-4.042316577E-4,2.851835452E-4,-6.511433516E-3
4.100928750E0,-2.773463959E-3,1.276114583E-2,-7.889875211E-3
4.120847750E0,-6.382720079E-3,1.752389967E-2,-8.664337918E-3
4.140765750E0,1.433536527E-3,9.006498381E-3,-6.539143156E-3
4.160683750E0,6.684654858E-3,-3.030570224E-3,-7.387890480E-3
4.180602750E0,1.845793799E-3,-2.745232545E-3,-4.196360242E-3
4.200520750E0,-3.665104043E-3,9.874189273E-3,-3.585973289E-3
4.220438750E0,-1.776292222E-3,1.081319246E-2,-5.271199159E-3
4.240357750E0,4.045952577E-3,1.695401501E-3,-4.404968349E-4
4.260275750E0,1.864987193E-3,-3.462456167E-3,1.007732120E-3
4.280194750E0,-4.019019194E-3,-1.753204968E-3,3.030503867E-4
4.300112750E0,-7.243803702E-3,-6.024185102E-3,-4.544950090E-3
4.320030750E0,7.848511450E-4,-1.582190860E-3,-4.534844309E-3
4.339949750E0,3.110318445E-3,-6.002116948E-3,-1.842898433E-3
4.359867750E0,1.346390462E-3,-4.388709087E-3,-1.561698737E-3
4.379785750E0,-2.666769316E-3,-2.803402487E-3,-1.606966835E-3
4.399704750E0,-1.312155509E-4,4.693587776E-3,-2.305508591E-3
4.419622750E0,2.825093921E-3,6.927796174E-3,-6.151811685E-4
4.439541750E0,4.293075297E-3,-3.508618101E-5,1.995487139E-3
4.459459750E0,1.055381261E-3,-5.977423862E-3,5.024067126E-3
4.479377750E0,1.397027750E-3,-8.004817180E-3,3.495396115E-3
4.499296750E0,1.796441153E-3,-5.096685141E-3,4.614186473E-3
4.519214750E0,1.071813516E-3,6.475253031E-5,4.149473738E-3
4.539132750E0,3.423685848E-4,-3.861958627E-3,1.816505101E-4
4.559051750E0,6.979714381E-4,-2.717002993E-3,-3.588893218E-3
4.578969750E0,-2.086083405E-3,1.069156639E-2,-4.473830573E-3
4.598887750E0,-9.201021865E-3,1.684753597E-2,-3.309512977E-3
4.618806750E0,-5.964748561E-3,8.208774030E-3,-6.193450186E-3
4.638724750E0,-1.154916128E-3,-3.061837517E-3,-3.483681940E-3
4.658643750E0,3.470695519E-4,-1.513939584E-3,-3.487695009E-3
4.678561750E0,-1.037596958E-3,-1.052706735E-3,7.030883571E-4
4.698479750E0,1.020171912E-3,5.863085389E-4,3.419487039E-3
4.718398750E0,8.147687651E-3,-1.950916601E-3,2.929752693E-3
4.738316750E0,7.822679356E-3,-1.329181017E-3,4.151976900E-4
4.758234750E0,-1.630000537E-3,5.088875070E-3,-6.707719527E-3
4.778153750E0,-1.201399951E-3,5.444110837E-3,-2.428264357E-3
4.798071750E0,-4.945472348E-3,-2.183266450E-3,-2.414701739E-3
4.817990750E0,3.060098970E-4,-1.483875141E-2,-3.224812681E-3
4.837908750E0,-7.267313777E-5,-1.143739745E-2,-1.770452480E-3
4.857826750E0,-7.336149924E-3,3.261907492E-3,-5.237658042E-3
4.877745750E0,-5.032581277E-3,4.627926741E-3,-2.115081763E-3
4.897663750E0,-7.998932269E-4,-8.937530220E-5,1.060988056E-3
4.917581750E0,9.822520660E-4,-9.945008904E-3,4.253324587E-3
4.937500750E0,-1.411583973E-3,-8.316481486E-3,6.274409592E-3
4.957418750E0,8.767066756E-4,-7.297708653E-3,7.369233295E-3
4.977336750E0,3.494617529E-3,4.924116656E-4,8.276824839E-3
4.997255750E0,-3.981298651E-4,2.398824319E-3,6.830484606E-3
5.017173750E0,-3.705056151E-3,6.979458500E-3,6.062150467E-3
5.037092750E0,-1.085673925E-3,2.220808994E-3,2.647979651E-3
5.057010750E0,-5.407254794E-4,-1.819794998E-4,1.227506436E-4
5.076928750E0,4.532778170E-3,-3.372594249E-3,1.109995530E-3
5.096847750E0,-4.668159527E-4,-9.662357625E-4,-4.106332548E-3
5.116765750E0,-1.051039528E-2,9.045918472E-3,-6.142585538E-3
5.136683750E0,-5.011009518E-3,1.654237695E-2,-1.907355152E-3
5.156602750E0,1.547001302E-4,9.491546080E-3,3.401669208E-3
5.176520750E0,3.042352153E-3,-3.052295186E-3,1.940628164E-3
5.196439750E0,-7.554233307E-4,-6.345816888E-3,5.666415673E-3
5.216357750E0,-3.712573554E-3,5.861690268E-3,1.272750646E-2
5.236275750E0,2.741125179E-3,1.238567568E-2,1.734729670E-2
5.256194750E0,1.294539589E-2,-7.324266247E-3,1.687191986E-2
5.276112750E0,1.142755803E-2,-2.332704701E-2,1.395709161E-2
5.296030750E0,2.294760663E-3,-1.961962692E-2,1.003584452E-2
5.315949750E0,8.456032374E-4,-6.327627227E-3,4.640049767E-3
5.335867750E0,-2.088141628E-5,-3.347215243E-4,-3.166762413E-3
5.355785750E0,-8.562456816E-3,6.623620167E-3,-1.032881066E-2
5.375704750E0,-1.662597619E-2,1.612870768E-2,-1.447215676E-2
5.395622750E0,-1.198646426E-2,9.269703180E-3,-1.084518805E-2
5.415541750E0,-3.225276014E-3,-8.302371949E-3,-6.622226443E-3
5.435459750E0,3.017047187E-3,-1.689874567E-2,-2.327545080E-4
5.455377750E0,-1.717315055E-3,-6.514320150E-3,7.590033347E-4
5.475297125E0,-2.552603837E-3,8.437652141E-3,2.995252609E-3
5.495215125E0,1.508062938E-3,1.143496111E-2,2.804563148E-3
5.515133125E0,6.744062062E-3,-4.662466235E-4,2.449302934E-3
5.535052125E0,7.752993610E-3,-1.072079316E-2,2.467662096E-3
5.554970125E0,1.719863503E-3,-6.667071953E-3,2.788330428E-3
5.574888125E0,-3.943446558E-3,2.476387657E-3,1.297737355E-3
5.594807125E0,-1.456876285E-3,7.042002864E-3,3.929487895E-3
5.614725125E0,-2.269654535E-3,7.337312680E-3,5.545769352E-3
5.634644125E0,2.983986866E-3,4.206875805E-3,2.400295576E-3
5.654562125E0,9.638161398E-3,-5.784771871E-3,5.475181155E-3
5.674480125E0,9.579057805E-3,-4.531788640E-3,6.369745824E-3
5.694399125E0,3.551240312E-3,-4.946142435E-3,8.346601389E-3
5.714317125E0,2.090841997E-3,-1.905309036E-4,6.800648756E-3
5.734235125E0,8.090859628E-4,-3.099127673E-3,1.743025379E-3
5.754154125E0,1.066342345E-3,-3.817821853E-4,-4.781963304E-3
5.774072125E0,-2.265127143E-3,1.382750925E-3,-1.262258179E-2
5.793990125E0,-6.341174711E-3,5.504254717E-3,-9.012679569E-3
5.813909125E0,-2.279134467E-3,3.608877305E-3,-4.279722925E-3
5.833827125E0,2.214048291E-3,-3.680840600E-3,-2.127354266E-3
5.853746125E0,7.087875274E-4,-2.029488096E-3,7.794918492E-4
5.873664125E0,-4.396389239E-3,-2.048430033E-4,3.309758846E-3
5.893582125E0,-3.889959073E-3,-7.014126517E-3,4.640276544E-3
5.913501125E0,-2.203099430E-4,-8.707892150E-3,2.812827937E-3
5.933419125E0,3.847252112E-3,7.952633314E-4,3.798757214E-3
5.953337125E0,-6.346930750E-4,5.081031937E-3,5.167837255E-3
5.973256125E0,-1.124453149E-3,1.966590527E-3,2.376336139E-3
5.993174125E0,4.593708552E-3,-9.381384589E-3,2.427432220E-3
6.013092125E0,8.234506473E-3,-1.086584851E-2,2.606444992E-3
6.033011125E0,4.536997527E-3,3.829584457E-3,1.413601451E-3
6.052929125E0,-4.576316569E-3,8.706472814E-3,-2.233346226E-3
6.072848125E0,-5.113452673E-3,-3.215363249E-4,-1.598730683E-3
6.092766125E0,4.698838573E-3,-7.220142055E-3,-1.978479791E-3
6.112684125E0,5.036896095E-3,-6.103365216E-3,-2.963851206E-3
6.132603125E0,-4.018449690E-3,1.831105910E-4,-9.965540376E-4
6.152521125E0,-6.549148820E-3,9.127717465E-3,-2.512427280E-3
6.172439125E0,-4.947439767E-3,9.915361181E-3,-4.037630279E-3
6.192358125E0,2.719819779E-3,8.091805503E-4,-4.500770010E-4
6.212276125E0,7.724703290E-3,-3.495944198E-3,8.082422428E-4
6.232194125E0,5.500491709E-3,1.395789906E-3,-2.024025423E-3
6.252113125E0,1.221303246E-4,1.869196631E-2,-5.985451862E-3
6.272031125E0,-3.480691928E-3,2.440820634E-2,-6.437412463E-3
6.291950125E0,-2.259571804E-3,3.680861555E-3,-1.357162255E-3
6.311868125E0,2.403913066E-3,-1.936868951E-2,7.682655938E-3
6.331786125E0,4.327920731E-3,-2.441160567E-2,1.404576376E-2
6.351705125E0,-1.365179429E-3,-6.522127427E-3,1.288302429E-2
6.371623125E0,-5.822862498E-3,3.282684833E-3,4.536688328E-3
6.391541125E0,-8.877224289E-3,4.214490298E-3,1.816299045E-4
6.411460125E0,-5.522990599E-3,-6.219207309E-3,1.907882281E-3
6.431378125E0,3.860353958E-3,-1.700920239E-2,1.888422528E-3
6.451297125E0,3.920955933E-4,-1.428436302E-2,1.168052549E-3
6.471215000E0,3.258638084E-3,-5.438023247E-3,-9.747162112E-4
6.491133000E0,-2.113182098E-3,-8.526211604E-5,-7.555925287E-3
6.511052000E0,-2.274957253E-3,-3.486197442E-3,-8.577520959E-3
6.530970000E0,1.994930906E-3,-7.142378017E-3,-7.315720897E-3
6.550888000E0,4.420490935E-3,-7.133274339E-3,-3.417623695E-3
6.570807000E0,1.196169527E-3,-1.463192981E-3,-2.219775692E-3
6.590725000E0,-2.051863819E-3,-5.897493102E-4,-1.998727443E-3
6.610643000E0,1.115199411E-4,-5.574416369E-3,6.287695142E-4
6.630562000E0,2.297652885E-3,-6.663015112E-3,-1.278880984E-3
6.650480000E0,1.938696019E-3,1.333058812E-3,1.325709978E-3
6.670398000E0,-2.811537590E-3,3.265962005E-4,4.600567743E-3
6.690317000E0,1.988856820E-5,-5.381036550E-3,5.740432069E-3
6.710235000E0,1.820923528E-3,-5.848727189E-3,6.629724521E-5
6.730154000E0,5.842916435E-4,-2.901894972E-3,-7.760443259E-4
6.750072000E0,-2.546375617E-3,7.305778563E-4,-1.635244116E-4
6.769990000E0,8.072637720E-4,-5.642105825E-3,1.807201770E-3
6.789909000E0,2.815347863E-3,-3.659608774E-3,-1.525207772E-3
6.809827000E0,3.141935449E-3,-1.723344205E-3,1.484685345E-3
6.829745000E0,-1.231040340E-3,1.015044469E-2,-3.319103969E-3
6.849664000E0,-7.615065551E-4,5.016368348E-3,6.199862109E-4
6.869582000E0,5.086346995E-3,-8.245953359E-4,-1.952105202E-3
6.889500000E0,-5.604142207E-4,-7.192518562E-3,-2.109501511E-3
6.909419000E0,-2.839202061E-3,-5.396477878E-3,3.622698598E-3
6.929337000E0,-1.174188801E-3,6.583607756E-4,4.777479917E-4
6.949256000E0,-3.294149181E-3,1.874745823E-3,1.452210126E-3
6.969174000E0,-3.057109192E-3,-2.073477954E-4,5.624567857E-4
6.989092000E0,6.452680100E-5,-3.075385466E-3,-7.318465505E-4
7.009011000E0,7.676669047E-4,-4.405453335E-3,5.935875233E-4
7.028929000E0,2.219145652E-3,-1.826323569E-5,-2.109251218E-4
7.048847000E0,5.534224911E-4,4.198466893E-3,-6.319816457E-4
7.068766000E0,3.387044417E-3,1.549553126E-4,-2.048241673E-3
7.088684000E0,-1.213687705E-3,-9.972183034E-5,6.500659510E-4
7.108603000E0,-2.272850368E-3,-2.143466845E-4,-1.146222115E-3
7.128521000E0,-1.091527869E-3,-7.777684368E-4,3.608824685E-3
7.148439000E0,1.822198974E-4,-1.630319748E-3,4.437872209E-3
7.168358000E0,2.751964610E-3,-1.026908867E-4,2.946772380E-3
7.188276000E0,-1.986125950E-3,4.791701213E-4,5.263186060E-3
7.208194000E0,-7.180990651E-3,1.358165871E-3,8.520767093E-3
7.228113000E0,-4.081603605E-3,-2.198485658E-3,9.449144825E-3
7.248031000E0,2.877890132E-3,-1.606228948E-2,8.177226409E-3
7.267949000E0,3.783696797E-3,-6.393237039E-3,-5.339947529E-4
7.287868000E0,-1.657346846E-3,1.388331316E-2,-9.784746915E-3
7.307786000E0,-2.699446632E-3,2.236187644E-2,-1.447162032E-2
7.327705000E0,3.829124384E-3,1.271028258E-2,-1.502181031E-2
7.347623000E0,7.949497551E-3,4.448406398E-4,-1.197840925E-2
7.367541000E0,4.982446320E-3,-2.007769886E-3,-5.085599609E-3
7.387460000E0,-1.912566833E-3,8.241115138E-3,-2.842916874E-3
7.407378000E0,1.195561490E-4,8.039078675E-3,-2.000363311E-4
7.427296000E0,-1.103166491E-3,-9.921470191E-4,1.103602350E-3
7.447215000E0,-3.121268004E-3,-6.014529150E-3,3.383794799E-3
7.467133250E0,-3.024020232E-3,-6.346285343E-3,7.280526217E-3
7.487051250E0,-1.272562193E-3,2.683610655E-4,7.743119728E-3
7.506970250E0,2.070666233E-4,4.792697728E-3,5.948962644E-3
7.526888250E0,3.532228759E-3,-1.653790008E-3,4.369704518E-3
